Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","SMD-0805",28.8660,39.6530,0.0000,bottom
"C2","100nF","C_0805_2012Metric",28.7889,43.3810,0.0000,bottom
"D1","LED","LED_1206",57.3390,21.4285,-90.0000,bottom
"D2","LED","LED_1206",26.8340,-28.4190,90.0000,bottom
"D3","LED","LED_1206",17.5880,24.9845,0.0000,bottom
"D4","LED","LED_1206",17.4360,14.8880,0.0000,bottom
"D5","LED","LED_1206",17.5880,40.3515,0.0000,bottom
"D6","LED","LED_1206",17.5880,35.1445,0.0000,bottom
"D7","LED","LED_1206",17.5880,20.1585,0.0000,bottom
"D8","LED","LED_1206",17.4360,9.8080,0.0000,bottom
"D9","LED","LED_1206",17.5630,4.7280,0.0000,bottom
"D10","BZV55C-5,6V","D_SMA",28.3260,47.1460,0.0000,bottom
"F1","Polyfuse","1812",48.1700,-20.4180,0.0000,bottom
"F3","Polyfuse","1812",47.7890,-32.7370,0.0000,bottom
"F4","Polyfuse","1812",34.7080,-32.6100,0.0000,bottom
"R1","800","SMD-0805",57.3390,26.5085,-90.0000,bottom
"R9","240","SMD-0805",28.5137,27.0800,-90.0000,bottom
"R10","240","SMD-0805",30.7997,6.8235,-90.0000,bottom
"R11","240","SMD-0805",32.6760,40.0975,90.0000,bottom
"R12","800","SMD-0805",26.8340,-32.5465,90.0000,bottom
"R13","240","SMD-0805",40.8040,27.3340,-90.0000,bottom
"R14","240","SMD-0805",43.0900,6.3155,-90.0000,bottom
"R15","240","SMD-0805",44.5883,43.5583,-90.0000,bottom
"R16","240","SMD-0805",32.6760,35.5255,-90.0000,bottom
"R17","240","SMD-0805",28.6657,16.9835,-90.0000,bottom
"R18","240","SMD-0805",34.3557,-3.9080,-90.0000,bottom
"R19","240","SMD-0805",44.8393,35.5890,-90.0000,bottom
"R20","240","SMD-0805",40.9560,17.2375,-90.0000,bottom
"R21","240","SMD-0805",46.5190,-3.7175,-90.0000,bottom
"R22","240","SMD-0805",34.2250,-14.5125,-90.0000,bottom
"R23","240","SMD-0805",46.3883,-14.4490,-90.0000,bottom
"U1","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",34.3270,27.4610,0.0000,bottom
"U2","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",36.6380,6.3155,0.0000,bottom
"U3","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",38.2383,43.5583,0.0000,bottom
"U4","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",38.5143,35.5890,0.0000,bottom
"U5","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",34.4790,17.1105,0.0000,bottom
"U6","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",40.1690,-3.7175,0.0000,bottom
"U7","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",40.0383,-14.4490,0.0000,bottom
