Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","SMD-0805",65.2780,64.0080,-90.0000,bottom
"C2","100nF","C_0805_2012Metric",67.5640,64.0740,-90.0000,bottom
"D1","BZV55C-5,6V","D_SMA",72.1360,68.8340,90.0000,bottom
"D2","LED","LED_1206",47.7520,87.1220,0.0000,bottom
"D3","LED","LED_1206",47.7520,76.4540,0.0000,bottom
"D4","LED","LED_1206",47.7520,65.7860,0.0000,bottom
"D5","LED","LED_1206",47.7520,55.1180,0.0000,bottom
"D6","LED","LED_1206",47.7520,44.4500,0.0000,bottom
"D7","LED","LED_1206",47.7520,33.7820,0.0000,bottom
"D8","LED","LED_1206",47.7520,23.1140,0.0000,bottom
"D9","LED","LED_1206",60.5107,21.3260,-90.0000,bottom
"D10","LED","LED_1206",61.3385,31.1620,-90.0000,bottom
"F1","SD110-16","1812",71.0000,45.0000,90.0000,bottom
"F3","SD110-16","1812",64.0000,45.0000,90.0000,bottom
"F4","16A","Fuse-Keystone-3557-2",45.4660,14.4780,180.0000,top
"F5","16A","Fuse-Keystone-3557-2",27.1780,14.4780,0.0000,top
"J1","WAGO 256-401","WAGO256",13.3881,83.1940,0.0000,top
"J2","WAGO 256-401","WAGO256",13.3881,78.1940,0.0000,top
"J3","WAGO 256-401","WAGO256",13.3881,73.1940,0.0000,top
"J4","WAGO 256-401","WAGO256",13.3881,68.1940,0.0000,top
"J5","WAGO 256-401","WAGO256",13.3881,63.1940,0.0000,top
"J6","WAGO 256-401","WAGO256",13.3881,58.1940,0.0000,top
"J7","WAGO 256-401","WAGO256",13.3881,53.1940,0.0000,top
"J8","WAGO 256-401","WAGO256",13.3881,48.1940,0.0000,top
"J9","WAGO 256-401","WAGO256",13.3881,43.1940,0.0000,top
"J10","WAGO 256-401","WAGO256",13.3881,38.1940,0.0000,top
"J11","WAGO 256-401","WAGO256",13.3881,33.1940,0.0000,top
"J13","WAGO 256-401","WAGO256",13.3881,28.1940,0.0000,top
"J14","3.3-5V","Straight_2x03",72.6440,77.2160,180.0000,top
"J15","Signals","Straight_2x07",62.4840,76.4540,0.0000,top
"J16","2x4","Straight_2x04",70.0000,55.0000,0.0000,top
"J18","2x4","Straight_2x04",64.0000,55.0000,0.0000,top
"J19","WAGO 256-401","WAGO256",68.1377,26.0620,180.0000,top
"J20","WAGO 256-401","WAGO256",68.2170,36.1620,180.0000,top
"J21","WAGO 256-401","WAGO256",68.1377,21.0620,180.0000,top
"J22","WAGO 256-401","WAGO256",68.2170,31.1620,180.0000,top
"M1","HOLE M3","MountingHole_3mm",10.1600,91.4400,0.0000,top
"M2","HOLE M3","MountingHole_3mm",71.1200,91.4400,0.0000,top
"M3","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","HOLE","MountingHole_3mm",71.1200,10.1600,0.0000,top
"R1","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,90.0000,0.0000,top
"R2","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,79.3861,0.0000,top
"R3","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,68.7721,0.0000,top
"R4","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,58.1582,0.0000,top
"R5","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,47.5443,0.0000,top
"R6","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,36.9304,0.0000,top
"R7","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,26.3164,0.0000,top
"R8","1k","SMD-0805",67.5640,84.0740,180.0000,bottom
"R9","1k","SMD-0805",67.5640,81.5340,180.0000,bottom
"R10","510R","SMD-0805",51.8160,87.8840,90.0000,bottom
"R11","510R","SMD-0805",51.8160,77.2054,90.0000,bottom
"R12","1k","SMD-0805",67.5640,78.9940,180.0000,bottom
"R13","1k","SMD-0805",67.5640,76.4540,180.0000,bottom
"R14","510R","SMD-0805",51.8160,66.5268,90.0000,bottom
"R15","510R","SMD-0805",51.8160,55.8483,90.0000,bottom
"R16","1k","SMD-0805",67.5640,73.9140,180.0000,bottom
"R17","1k","SMD-0805",67.5640,71.3740,180.0000,bottom
"R18","1k","SMD-0805",67.5640,68.8340,180.0000,bottom
"R19","510R","SMD-0805",51.8160,45.1697,90.0000,bottom
"R20","510R","SMD-0805",51.8160,34.4911,90.0000,bottom
"R21","510R","SMD-0805",51.8160,23.8125,90.0000,bottom
"R22","1k","SMD-0805",60.5107,26.0885,-90.0000,bottom
"R23","1k","SMD-0805",61.3385,36.2420,-90.0000,bottom
"U1","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",49.5300,92.2020,0.0000,bottom
"U2","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",49.5300,81.4917,0.0000,bottom
"U3","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",49.5300,70.7813,0.0000,bottom
"U4","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",49.5300,60.0710,0.0000,bottom
"U5","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",49.5300,49.3607,0.0000,bottom
"U6","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",49.5300,38.6503,0.0000,bottom
"U7","LTV-357T","SO-4_4.4x3.6mm_P2.54mm",49.5300,27.9400,0.0000,bottom
