Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"F4","16A","Fuse-Keystone-3557-2",45.4660,14.4780,180.0000,top
"F5","16A","Fuse-Keystone-3557-2",27.1780,14.4780,0.0000,top
"J1","WAGO 256-401","WAGO256",13.3881,83.1940,0.0000,top
"J2","WAGO 256-401","WAGO256",13.3881,78.1940,0.0000,top
"J3","WAGO 256-401","WAGO256",13.3881,73.1940,0.0000,top
"J4","WAGO 256-401","WAGO256",13.3881,68.1940,0.0000,top
"J5","WAGO 256-401","WAGO256",13.3881,63.1940,0.0000,top
"J6","WAGO 256-401","WAGO256",13.3881,58.1940,0.0000,top
"J7","WAGO 256-401","WAGO256",13.3881,53.1940,0.0000,top
"J8","WAGO 256-401","WAGO256",13.3881,48.1940,0.0000,top
"J9","WAGO 256-401","WAGO256",13.3881,43.1940,0.0000,top
"J10","WAGO 256-401","WAGO256",13.3881,38.1940,0.0000,top
"J11","WAGO 256-401","WAGO256",13.3881,33.1940,0.0000,top
"J13","WAGO 256-401","WAGO256",13.3881,28.1940,0.0000,top
"J14","3.3-5V","Straight_2x03",72.6440,77.2160,180.0000,top
"J15","Signals","Straight_2x07",62.4840,76.4540,0.0000,top
"J16","2x4","Straight_2x04",70.0000,55.0000,0.0000,top
"J18","2x4","Straight_2x04",64.0000,55.0000,0.0000,top
"J19","WAGO 256-401","WAGO256",68.1377,26.0620,180.0000,top
"J20","WAGO 256-401","WAGO256",68.2170,36.1620,180.0000,top
"J21","WAGO 256-401","WAGO256",68.1377,21.0620,180.0000,top
"J22","WAGO 256-401","WAGO256",68.2170,31.1620,180.0000,top
"M1","HOLE M3","MountingHole_3mm",10.1600,91.4400,0.0000,top
"M2","HOLE M3","MountingHole_3mm",71.1200,91.4400,0.0000,top
"M3","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","HOLE","MountingHole_3mm",71.1200,10.1600,0.0000,top
"R1","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,90.0000,0.0000,top
"R2","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,79.3861,0.0000,top
"R3","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,68.7721,0.0000,top
"R4","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,58.1582,0.0000,top
"R5","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,47.5443,0.0000,top
"R6","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,36.9304,0.0000,top
"R7","33R","R_Radial_Power_L13.0mm_W9.0mm_P5.00mm",34.0000,26.3164,0.0000,top
